student,currProb,course,session,priorTutorAction,reward,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime,cumul_F1Score,CurrPro_avgProbTimeDeviationPS,cumul_BlankRatio,BDActionCount,UseWindowInfo,cumul_difficultProblemCountSolved
0116-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,1,0,0,0,1
0116-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,1,1,1,0,0,1
0116-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-20.6004732,0,1,1,0,0,0,0,1
0116-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,0,0,0,0,1
0116-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,1,1,0,0,0,1
0116-F14,4.1.3.0,226-001-BARNES-F14,1,PS,118.3945908,0,1,1,1,0,0,0,1
0116-F14,5.1.1.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,1,0,0,0
0116-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
0116-F14,5.1.3.0,226-001-BARNES-F14,1,PS,26.07142857,0,1,1,1,1,0,0,1
0116-F14,6.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
0116-F14,6.1.2.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,1
0116-F14,6.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,1,1,0,0,0,1
0118-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
0118-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,1,0,1,0
0118-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,1,0,0,0
0118-F14,1.0.4.0,226-001-BARNES-F14,1,PS,1.973684211,0,1,0,0,0,0,0,0
0118-F14,2.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
0118-F14,2.1.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,1,1,0,0,1
0118-F14,2.1.3.0,226-001-BARNES-F14,1,PS,65.75740823,0,1,0,0,1,0,0,1
0118-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,0,0,0,1
0118-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,1,0,0,0,1
0118-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-102.488374,0,1,0,0,0,0,0,1
0118-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,0,0,0,0,1
0118-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,1,1,1,0,0,1
0118-F14,4.1.3.0,226-001-BARNES-F14,1,PS,45.29299584,0,1,1,1,0,0,0,1
0118-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,1
0118-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,1
0118-F14,5.1.3.0,226-001-BARNES-F14,1,PS,50.99538619,0,1,1,1,0,0,0,1
0118-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,0,0,0,1
0118-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,0,0,0,1
0118-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-27.13857711,0,1,1,1,0,0,0,1
011b-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,1,0
011b-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
011b-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,1,0,0,0
011b-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,0,1,0,0,1,0,0,0
011b-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,1,0,0,0,1
011b-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,1,1,0,0,0,1
011b-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,1,0,0,0,1
011b-F14,3.1.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,1,1,0,0,0,1
011b-F14,3.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,1,0,0,0,0,1
011b-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,0,0,0,0,1
011b-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,1,1,1,0,0,1
011b-F14,4.1.3.0,226-001-BARNES-F14,1,PS,36.48578363,0,1,1,1,0,0,0,1
011b-F14,5.1.1.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,1,0,0,0
011b-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
011b-F14,5.1.3.0,226-001-BARNES-F14,1,PS,-94.56168831,0,1,0,1,1,0,0,1
011b-F14,6.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
011b-F14,6.1.2.0,226-001-BARNES-F14,1,PS,0.0,0,0,1,0,0,0,0,1
011b-F14,6.1.3.0,226-001-BARNES-F14,1,PS,98.72557349,0,1,1,1,0,0,0,1
011d-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
011d-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,1,1,1,0
011d-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
011d-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-82.89473684,0,1,0,0,1,0,0,0
011d-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0.0,1,1,0,1,1,0,0,0
011d-F14,2.1.2.0,226-001-BARNES-F14,2,PS,0.0,1,0,0,1,1,0,0,0
011d-F14,2.1.3.0,226-001-BARNES-F14,2,PS,0.0,0,1,0,0,1,0,0,0
011d-F14,2.-1.2.0,226-001-BARNES-F14,2,PS,0.0,0,0,0,1,1,0,0,0
011d-F14,2.-1.2.1,226-001-BARNES-F14,2,PS,0.0,0,0,0,1,1,0,0,0
011d-F14,2.-1.3.0,226-001-BARNES-F14,2,PS,0.0,0,0,0,0,1,0,1,0
011d-F14,2.-1.4.0,226-001-BARNES-F14,3,PS,0.0,0,0,0,0,1,0,0,0
011d-F14,2.-1.2.0,226-001-BARNES-F14,3,PS,0.0,0,0,1,1,0,0,0,0
011d-F14,2.-1.2.1,226-001-BARNES-F14,3,PS,0.0,0,0,0,1,0,0,0,0
011d-F14,2.-1.3.0,226-001-BARNES-F14,5,PS,0.0,0,0,0,0,0,0,1,0
011d-F14,2.-1.2.0,226-001-BARNES-F14,5,PS,0.0,0,0,0,1,0,0,0,0
011d-F14,2.-1.2.0,226-001-BARNES-F14,5,PS,0.0,0,0,0,1,0,0,0,0
011d-F14,2.-1.2.1,226-001-BARNES-F14,5,PS,0.0,0,0,0,1,0,0,0,0
011d-F14,2.-1.2.1,226-001-BARNES-F14,5,PS,-6.137521222,0,0,0,1,0,1,0,0
0123-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
0123-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
0123-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,1,0,0,0
0123-F14,1.0.4.0,226-001-BARNES-F14,2,PS,0.0,0,1,0,0,1,0,0,0
0123-F14,1.0.3.0,226-001-BARNES-F14,2,PS,1.973684211,1,1,0,1,1,0,0,0
0123-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0.0,1,1,0,1,1,0,0,0
0123-F14,2.1.2.0,226-001-BARNES-F14,3,PS,0.0,1,0,1,1,1,0,0,1
0123-F14,2.1.3.0,226-001-BARNES-F14,3,PS,65.75740823,0,1,1,0,1,0,0,1
0123-F14,3.1.1.0,226-001-BARNES-F14,3,WE,0.0,1,1,0,1,1,0,0,0
0123-F14,3.1.2.0,226-001-BARNES-F14,3,PS,0.0,1,0,1,1,1,0,0,1
0123-F14,3.1.3.0,226-001-BARNES-F14,3,PS,-43.26507302,0,1,1,0,0,0,0,1
0123-F14,4.1.1.0,226-001-BARNES-F14,3,WE,0.0,1,1,0,0,1,0,0,0
0123-F14,4.1.2.0,226-001-BARNES-F14,3,PS,0.0,1,0,1,1,0,0,0,1
0123-F14,4.1.3.0,226-001-BARNES-F14,3,PS,75.53398058,0,1,1,1,0,0,0,1
0123-F14,5.1.1.0,226-001-BARNES-F14,3,WE,0.0,0,0,0,0,1,0,0,0
0123-F14,5.1.2.0,226-001-BARNES-F14,3,WE,0.0,1,0,0,0,1,0,0,0
0123-F14,5.1.3.0,226-001-BARNES-F14,3,PS,0.0,0,1,1,1,1,0,0,1
0123-F14,6.1.1.0,226-001-BARNES-F14,3,PS,0.0,1,0,1,0,0,0,0,1
0123-F14,6.1.2.0,226-001-BARNES-F14,3,WE,0.0,0,0,1,0,0,0,0,1
0123-F14,6.1.3.0,226-001-BARNES-F14,3,PS,-143.1775701,0,1,1,1,0,0,0,1
0126-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
0126-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
0126-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0,1,1,0,1,1,0,0,0
0126-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,0,1,0,0,1,0,0,0
0126-F14,2.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
0126-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,1,1,0,0,0
0126-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875,0,1,0,0,1,0,0,1
0126-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
0126-F14,3.1.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,1,1,1,0,0,1
0126-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.26507302,0,1,1,0,1,0,0,1
0126-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,1,1,0,0,0,0,1
0126-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,1,0,1,1,1,0,0,1
0126-F14,4.1.3.0,226-001-BARNES-F14,1,PS,49.46255201,0,1,1,1,0,0,0,1
0126-F14,5.1.1.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,1,0,0,0
0126-F14,5.1.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,1,0,1,0,0,1
0126-F14,5.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,1,1,1,1,0,0,1
0126-F14,5.-1.3.0,226-001-BARNES-F14,1,PS,0.0,0,0,1,0,0,0,0,1
0126-F14,5.-1.4.0,226-001-BARNES-F14,1,PS,-173.9285714,0,1,1,0,0,0,0,1
0126-F14,6.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,0,0,0,1,0,0,0
0126-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,1,0,0,0
0126-F14,6.1.3.0,226-001-BARNES-F14,1,PS,71.77570093,0,1,1,1,0,0,0,1
0131-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,1,1,0,0,0
0131-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,1,1,1,0
0131-F14,1.0.3.0,226-001-BARNES-F14,3,WE,0.0,1,1,0,1,1,0,0,0
0131-F14,1.0.4.0,226-001-BARNES-F14,3,PS,-93.42105263,0,1,1,0,1,1,0,0
